,player_id,season,player,age,team,pos,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,usg_percent,all_star,vorp,tov_ratio,tov_percent,points_per_36,proximity_to_prime,offensive_efficiency,box_score_volume,shot_volume,team_win_pct,per,ws_48,dws,ts_percent,bpm,win_contributions,next_yr_all_star,conference,next_yr_conference,defensive_contributions,win_weighted_defense,high_impact_winners,impact_scorers,delta_vorp,last_name,val_scores,predicted_all_star
51,achiupr01,2024,Precious Achiuwa,24.0,TOR,PF,21.2,3.1666666666666665,6.3999999999999995,0.495,0.4,1.4,0.2683333333333333,2.7666666666666666,5.0,0.556,0.5243333333333333,0.9333333333333333,1.5333333333333332,0.61,2.5,3.9000000000000004,6.4,1.4000000000000001,0.6,0.8333333333333334,1.1333333333333335,1.8666666666666667,7.633333333333334,17.033333333333335,0,0.13333333333333336,0.8376068376068376,13.733333333333334,4.491759259259259,88.0,134.6081,15.433333333333334,7.933333333333334,0.4573170731707317,14.700000000000001,0.09066666666666666,1.4666666666666668,0.5403333333333333,-1.4666666666666666,0.04146341463414634,0.0,East,East,5.333333333333334,7.822222222222224,0.01208888888888889,-6.587913580246912,0.23333333333333336,Achiuwa,-1.5201741,0.0
153,adebaba01,2024,Bam Adebayo,26.0,MIA,C,34.0,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,24.9,1,2.7,0.5897435897435898,12.0,18.227777777777778,96.0,283.97952,33.6,19.799999999999997,0.5609756097560976,19.8,0.144,4.3,0.576,2.4,0.08078048780487805,0.0,East,East,10.1,43.43,0.3888,43.74666666666666,0.40000000000000036,Adebayo,-1.1723936,1.0
173,agbajoc01,2024,Ochai Agbaji,23.0,UTA,SG,21.433333333333334,2.3666666666666667,5.766666666666667,0.4093333333333333,0.7666666666666667,2.7,0.2806666666666666,1.6,3.066666666666667,0.5233333333333333,0.4783333333333333,0.5333333333333333,0.8,0.6739999999999999,1.0,1.8333333333333333,2.8666666666666663,1.1,0.6,0.6,0.8666666666666667,1.5666666666666667,5.966666666666667,13.666666666666666,0,-0.6666666666666666,0.7837347837347837,12.366666666666667,3.5768518518518513,84.0,51.094966666666664,9.933333333333334,6.566666666666667,0.34146341463414637,7.633333333333334,-0.0010000000000000002,0.39999999999999997,0.4936666666666667,-4.633333333333334,-0.00034146341463414643,0.0,West,East,3.033333333333333,1.2133333333333332,0.0006666666666666668,-16.572746913580247,-0.36666666666666664,Agbaji,-1.5201741,0.0
335,allenja01,2024,Jarrett Allen,25.0,CLE,C,31.7,6.7,10.6,0.634,0.0,0.1,0.0,6.7,10.6,0.638,0.634,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,19.4,0,3.1,0.5925925925925926,11.2,14.529166666666667,92.0,280.81888000000004,29.7,14.799999999999999,0.5853658536585366,21.8,0.21,3.9,0.664,3.0,0.12292682926829267,0.0,East,East,9.200000000000001,35.88,0.651,43.5875,0.7000000000000002,Allen,-1.2977341,0.0
649,antetgi01,2024,Giannis Antetokounmpo,29.0,MIL,PF,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,33.0,1,7.2,0.5230769230769231,12.7,29.724444444444444,100.0,640.3683,48.4,29.5,0.5975609756097561,29.9,0.246,3.7,0.649,9.0,0.147,1.0,East,East,11.100000000000001,41.07000000000001,1.7712,267.52,1.7999999999999998,Antetokounmpo,1.2556068,1.0
701,anthoco01,2024,Cole Anthony,23.0,ORL,PG,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3.0,6.0,0.49,0.496,2.2,2.7,0.826,0.8,3.0,3.8,2.9,0.8,0.5,1.6,2.2,11.6,23.7,0,1.0,0.5517241379310345,12.8,7.217777777777778,84.0,188.5809,18.3,12.100000000000001,0.573170731707317,14.6,0.096,2.7,0.545,0.1,0.05502439024390243,0.0,East,East,4.3,11.61,0.096,0.7217777777777779,-0.30000000000000004,Anthony,-1.5044777,0.0
732,anunoog01,2024,OG Anunoby,26.0,TOR,SF,34.06666666666666,5.6,11.5,0.48866666666666664,2.033333333333333,5.266666666666667,0.38333333333333336,3.6333333333333337,6.233333333333333,0.5806666666666667,0.5763333333333333,1.3333333333333333,1.7999999999999998,0.7536666666666667,0.9333333333333333,3.2,4.166666666666667,2.1,1.3666666666666665,0.7333333333333333,1.6333333333333335,2.4,14.633333333333333,17.533333333333335,0,0.39999999999999997,0.8292768959435626,11.633333333333333,13.839999999999998,96.0,133.41645333333332,20.9,13.3,0.4573170731707317,12.8,0.07400000000000001,1.0,0.5946666666666666,-0.5333333333333334,0.033841463414634156,0.0,East,East,5.3,5.3,0.0296,-7.381333333333334,-1.1,Anunoby,-1.5201741,0.0
1108,ballla01,2024,LaMelo Ball,22.0,CHO,PG,32.3,8.3,19.2,0.433,3.2,9.0,0.355,5.1,10.3,0.5,0.515,4.1,4.7,0.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,34.3,0,1.0,0.475,15.0,21.443611111111107,80.0,400.23984,37.0,24.0,0.25609756097560976,20.8,0.074,0.5,0.561,3.3,0.01895121951219512,0.0,East,East,5.8,2.9,0.074,70.76391666666665,-0.3999999999999999,Ball,-0.89483416,1.0
1134,balllo01,2024,Lonzo Ball,,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0,,,,0.573170731707317,,,,,,,0.0,West,East,,,,,0.0,Ball,-1.5201741,0.0
1144,banchpa01,2024,Paolo Banchero,21.0,ORL,PF,35.0,8.0,17.6,0.455,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7.0,0.725,1.0,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6,29.7,1,2.3,0.5740740740740741,13.0,21.972222222222225,76.0,280.54026000000005,34.9,24.6,0.573170731707317,17.3,0.09,4.0,0.546,1.3,0.051585365853658534,0.0,East,East,7.4,29.6,0.207,28.563888888888894,1.9999999999999998,Banchero,-1.1368763,1.0
1238,barlodo01,2024,Dominick Barlow,20.0,SAS,PF,12.7,1.7,3.4,0.496,0.1,0.3,0.333,1.6,3.2,0.51,0.509,0.9,1.3,0.69,1.4,2.1,3.4,1.1,0.4,0.4,0.3,1.4,4.4,14.1,0,0.0,0.2727272727272727,6.4,1.5522222222222222,72.0,112.81128000000001,8.9,4.8,0.2682926829268293,14.6,0.126,0.4,0.548,-1.7,0.03380487804878049,0.0,West,East,2.9000000000000004,1.1600000000000001,0.0,-2.6387777777777774,0.3,Barlow,-1.5201741,0.0
