,season,player,g,age,team,pos,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game,usg_percent,all_star,vorp,tov_ratio,tov_percent,points_per_36,proximity_to_prime,offensive_efficiency,team_win_pct,per,ws_48,dws,ts_percent,bpm,ast_per_36,rbs_per_36,win_contributions,career_games_played,career_games_possible,availability,next_yr_all_star,conference,next_yr_conference,defensive_contributions,win_weighted_defense,high_impact_winners,ppg_rank,efficiency_rank,vorp_rank,impact_scorers,delta_vorp,delta_ppg,delta_efficiency,breakout_score,all_star_streak,last_name,val_scores,predicted_all_star
51,2024,Precious Achiuwa,74.0,24.0,TOR,PF,21.2,3.1666666666666665,6.3999999999999995,0.495,0.4,1.4,0.2683333333333333,2.7666666666666666,5.0,0.556,0.5243333333333333,0.9333333333333333,1.5333333333333332,0.61,2.5,3.9000000000000004,6.4,1.4000000000000001,0.6,0.8333333333333334,1.1333333333333335,1.8666666666666667,7.633333333333334,17.033333333333335,0,0.13333333333333336,0.8376068376068376,13.733333333333334,4.491759259259259,0.9525741268224333,134.6081,0.4573170731707317,14.700000000000001,0.09066666666666666,1.4666666666666668,0.5403333333333333,-1.4666666666666666,2.377358490566038,10.867924528301888,0.04146341463414634,263.0,328,0.801829268292683,0.0,East,East,5.333333333333334,7.822222222222224,0.01208888888888889,0.5656028368794326,0.5519713261648745,0.5815602836879432,-6.587913580246912,-2.3333333333333335,-0.17028985507246364,-0.1760210602709833,-2.2226729625856776,0,Achiuwa,-2.9504273,0.0
153,2024,Bam Adebayo,71.0,26.0,MIA,C,34.0,7.5,14.3,0.521,0.2,0.6,0.357,7.3,13.7,0.528,0.529,4.1,5.5,0.755,2.2,8.1,10.4,3.9,1.1,0.9,2.3,2.2,19.3,24.9,1,2.7,0.5897435897435898,12.0,18.227777777777778,0.7310585786300049,283.97952,0.5609756097560976,19.8,0.144,4.3,0.576,2.4,4.129411764705882,11.011764705882353,0.08078048780487805,489.0,574,0.8519163763066202,0.0,East,East,10.1,43.43,0.3888,0.8971631205673759,0.9139784946236559,0.9485815602836879,43.74666666666666,0.17391304347826098,-0.0539215686274509,-0.05295914251138123,0.12714062237043572,2,Adebayo,1.2739776,0.0
173,2024,Ochai Agbaji,78.0,23.0,UTA,SG,21.433333333333334,2.3666666666666667,5.766666666666667,0.4093333333333333,0.7666666666666667,2.7,0.2806666666666666,1.6,3.066666666666667,0.5233333333333333,0.4783333333333333,0.5333333333333333,0.8,0.6739999999999999,1.0,1.8333333333333333,2.8666666666666663,1.1,0.6,0.6,0.8666666666666667,1.5666666666666667,5.966666666666667,13.666666666666666,0,-0.6666666666666666,0.7837347837347837,12.366666666666667,3.5768518518518513,0.9820137900379086,51.094966666666664,0.34146341463414637,7.633333333333334,-0.0010000000000000002,0.39999999999999997,0.4936666666666667,-4.633333333333334,1.8475894245723175,4.814930015552099,-0.00034146341463414643,137.0,164,0.8353658536585366,0.0,West,East,3.033333333333333,1.2133333333333332,0.0006666666666666668,0.4840989399293286,0.12411347517730496,0.028268551236749116,-16.572746913580247,1.2222222222222223,-0.24472573839662448,-0.39321537671657203,1.2002390767129993,0,Agbaji,-2.9376717,0.0
335,2024,Jarrett Allen,77.0,25.0,CLE,C,31.7,6.7,10.6,0.634,0.0,0.1,0.0,6.7,10.6,0.638,0.634,3.0,4.1,0.742,3.2,7.4,10.5,2.7,0.7,1.1,1.6,1.9,16.5,19.4,0,3.1,0.5925925925925926,11.2,14.529166666666667,0.8807970779778823,280.81888000000004,0.5853658536585366,21.8,0.21,3.9,0.664,3.0,3.066246056782335,11.92429022082019,0.12292682926829267,486.0,574,0.8466898954703833,0.0,East,East,9.200000000000001,35.88,0.651,0.8617021276595744,0.9032258064516129,0.9645390070921985,43.5875,0.29166666666666674,0.15384615384615374,0.2842647895465682,0.25689914774354905,0,Allen,-0.07789118,0.0
649,2024,Giannis Antetokounmpo,73.0,29.0,MIL,PF,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,33.0,1,7.2,0.5230769230769231,12.7,29.724444444444444,0.11920292202211755,640.3683,0.5975609756097561,29.9,0.246,3.7,0.649,9.0,6.647727272727272,11.761363636363635,0.147,792.0,902,0.8780487804878049,1.0,East,East,11.100000000000001,41.07000000000001,1.7712,0.9964539007092199,0.996415770609319,1.0,267.52,0.33333333333333326,-0.02250803858520911,-0.0593138997511552,0.03973430734070584,8,Antetokounmpo,2.5150075,1.0
701,2024,Cole Anthony,81.0,23.0,ORL,PG,22.4,4.1,9.4,0.435,1.1,3.4,0.338,3.0,6.0,0.49,0.496,2.2,2.7,0.826,0.8,3.0,3.8,2.9,0.8,0.5,1.6,2.2,11.6,23.7,0,1.0,0.5517241379310345,12.8,7.217777777777778,0.9820137900379085,188.5809,0.573170731707317,14.6,0.096,2.7,0.545,0.1,4.6607142857142865,6.107142857142858,0.05502439024390243,253.0,328,0.7713414634146342,0.0,East,East,4.3,11.61,0.096,0.7340425531914894,0.7419354838709677,0.7978723404255319,0.7217777777777779,-0.23076923076923084,-0.10769230769230775,-0.03824510403916759,-0.22661856693182508,0,Anthony,-2.5906758,0.0
732,2024,OG Anunoby,50.0,26.0,TOR,SF,34.06666666666666,5.6,11.5,0.48866666666666664,2.033333333333333,5.266666666666667,0.38333333333333336,3.6333333333333337,6.233333333333333,0.5806666666666667,0.5763333333333333,1.3333333333333333,1.7999999999999998,0.7536666666666667,0.9333333333333333,3.2,4.166666666666667,2.1,1.3666666666666665,0.7333333333333333,1.6333333333333335,2.4,14.633333333333333,17.533333333333335,0,0.39999999999999997,0.8292768959435626,11.633333333333333,13.839999999999998,0.7310585786300049,133.41645333333332,0.4573170731707317,12.8,0.07400000000000001,1.0,0.5946666666666666,-0.5333333333333334,2.2191780821917813,4.403131115459884,0.033841463414634156,418.0,574,0.7282229965156795,0.0,East,East,5.3,5.3,0.0296,0.8226950354609929,0.5448028673835126,0.6666666666666666,-7.381333333333334,-0.7333333333333334,-0.12896825396825407,-0.20030513328002686,-0.5361096243286703,0,Anunoby,-1.0262297,0.0
1108,2024,LaMelo Ball,22.0,22.0,CHO,PG,32.3,8.3,19.2,0.433,3.2,9.0,0.355,5.1,10.3,0.5,0.515,4.1,4.7,0.865,1.3,3.8,5.1,8.0,1.8,0.2,3.8,3.6,23.9,34.3,0,1.0,0.475,15.0,21.443611111111107,0.9933071490757153,400.23984,0.25609756097560976,20.8,0.074,0.5,0.561,3.3,8.916408668730652,5.684210526315789,0.01895121951219512,184.0,328,0.5609756097560976,0.0,East,East,5.8,2.9,0.074,0.9645390070921985,0.9713261648745519,0.7978723404255319,70.76391666666665,-0.2857142857142857,0.025751072961373245,0.3776813060853583,-0.28380204259306147,0,Ball,0.4429963,0.0
1134,2024,Lonzo Ball,0.0,,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.573170731707317,,,,,,0.0,0.0,,252.0,2050,0.12292682926829268,0.0,West,East,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Ball,-2.9504273,0.0
1144,2024,Paolo Banchero,80.0,21.0,ORL,PF,35.0,8.0,17.6,0.455,1.5,4.4,0.339,6.5,13.2,0.493,0.497,5.1,7.0,0.725,1.0,5.9,6.9,5.4,0.9,0.6,3.1,1.9,22.6,29.7,1,2.3,0.5740740740740741,13.0,21.972222222222225,0.9975273768433653,280.54026000000005,0.573170731707317,17.3,0.09,4.0,0.546,1.3,5.554285714285715,7.097142857142857,0.051585365853658534,152.0,164,0.926829268292683,0.0,East,East,7.4,29.6,0.207,0.9539007092198581,0.899641577060932,0.9273049645390071,28.563888888888894,6.666666666666666,0.13000000000000012,0.2942571142208297,6.650182512289102,1,Banchero,1.3603387,1.0
